po/sr/security/manager/chrome/pipnss/nsserrors.properties.po:	264 translated messages.
po/sr/security/manager/chrome/pipnss/security.properties.po:	15 translated messages.
po/sr/security/manager/chrome/pipnss/pipnss.properties.po:	po/sr/security/manager/chrome/pipnss/pipnss.properties.po: warning: Charset "CHARSET" is not a portable encoding name.
                                                                    Message conversion to user's charset might not work.
330 translated messages.
po/sr/security/manager/chrome/pippki/deviceManager.dtd.po:	22 translated messages.
po/sr/security/manager/chrome/pippki/pref-ssl.dtd.po:	26 translated messages.
po/sr/security/manager/chrome/pippki/certManager.dtd.po:	78 translated messages.
po/sr/security/manager/chrome/pippki/pref-validation.dtd.po:	39 translated messages.
po/sr/security/manager/chrome/pippki/pref-masterpass.dtd.po:	18 translated messages.
po/sr/security/manager/chrome/pippki/pippki.properties.po:	141 translated messages.
po/sr/security/manager/chrome/pippki/pref-security.dtd.po:	12 translated messages.
po/sr/security/manager/chrome/pippki/PrefOverlay.dtd.po:	5 translated messages.
po/sr/security/manager/chrome/pippki/pippki.dtd.po:	62 translated messages.
po/sr/security/manager/chrome/pippki/PageInfoOverlay.dtd.po:	4 translated messages.
po/sr/mail/updater/updater.ini.po:	2 translated messages.
po/sr/mail/chrome/branding/brand.dtd.po:	3 translated messages.
po/sr/mail/chrome/branding/brand.properties.po:	3 translated messages.
po/sr/mail/chrome/messenger-mapi/mapi.properties.po:	17 translated messages.
po/sr/mail/chrome/mozldap/ldap.properties.po:	62 translated messages.
po/sr/mail/chrome/global-platform/win/nsWindowsHooks.properties.po:	6 translated messages.
po/sr/mail/chrome/messenger-smime/msgReadSMIMEOverlay.dtd.po:	1 translated message.
po/sr/mail/chrome/messenger-smime/msgReadSMIMEOverlay.properties.po:	3 translated messages.
po/sr/mail/chrome/messenger-smime/certFetchingStatus.dtd.po:	3 translated messages.
po/sr/mail/chrome/messenger-smime/msgReadSecurityInfo.dtd.po:	7 translated messages.
po/sr/mail/chrome/messenger-smime/msgCompSecurityInfo.properties.po:	9 translated messages.
po/sr/mail/chrome/messenger-smime/msgCompSMIMEOverlay.dtd.po:	9 translated messages.
po/sr/mail/chrome/messenger-smime/msgCompSecurityInfo.dtd.po:	11 translated messages.
po/sr/mail/chrome/messenger-smime/msgSecurityInfo.properties.po:	50 translated messages.
po/sr/mail/chrome/messenger-smime/msgCompSMIMEOverlay.properties.po:	1 translated message.
po/sr/mail/chrome/communicator/contentAreaCommands.properties.po:	13 translated messages.
po/sr/mail/chrome/communicator/wallet/SignonViewer.properties.po:	8 translated messages.
po/sr/mail/chrome/communicator/wallet/wallet.properties.po:	41 translated messages.
po/sr/mail/chrome/communicator/wallet/SignonViewer.dtd.po:	15 translated messages.
po/sr/mail/chrome/communicator/utilityOverlay.properties.po:	5 translated messages.
po/sr/mail/chrome/communicator/utilityOverlay.dtd.po:	36 translated messages.
po/sr/mail/chrome/global/charset.dtd.po:	10 translated messages.
po/sr/mail/chrome/messenger/importMsgs.properties.po:	87 translated messages.
po/sr/mail/chrome/messenger/markByDate.dtd.po:	3 translated messages.
po/sr/mail/chrome/messenger/comm4xMailImportMsgs.properties.po:	5 translated messages.
po/sr/mail/chrome/messenger/msgViewPickerOverlay.dtd.po:	7 translated messages.
po/sr/mail/chrome/messenger/messengercompose/askSendFormat.properties.po:	4 translated messages.
po/sr/mail/chrome/messenger/messengercompose/sendProgress.properties.po:	5 translated messages.
po/sr/mail/chrome/messenger/messengercompose/addressingWidgetOverlay.dtd.po:	6 translated messages.
po/sr/mail/chrome/messenger/messengercompose/askSendFormat.dtd.po:	7 translated messages.
po/sr/mail/chrome/messenger/messengercompose/messengercompose.dtd.po:	153 translated messages.
po/sr/mail/chrome/messenger/messengercompose/composeMsgs.properties.po:	108 translated messages.
po/sr/mail/chrome/messenger/messengercompose/mailComposeEditorOverlay.dtd.po:	2 translated messages.
po/sr/mail/chrome/messenger/messengercompose/sendProgress.dtd.po:	3 translated messages.
po/sr/mail/chrome/messenger/subscribe.dtd.po:	8 translated messages.
po/sr/mail/chrome/messenger/folderpane.dtd.po:	5 translated messages.
po/sr/mail/chrome/messenger/am-copies.dtd.po:	17 translated messages.
po/sr/mail/chrome/messenger/searchTermOverlay.dtd.po:	5 translated messages.
po/sr/mail/chrome/messenger/search.properties.po:	10 translated messages.
po/sr/mail/chrome/messenger/aboutDialog.dtd.po:	5 translated messages.
